OTU ID	S31	S1	S42	S13_T2	S30	S50	S43	S20	S29	S47U	S26	S13_T3	S33	S8L	S23	S10R	S49	S14L	S11	S8R	S22	S38U	S47I	S37	S19	S24	S13_T1	S46	S14R	S3	S27	S44	S10L	S28	S10	S39	S9	S25	S5	S45	S48	S16	S6	S18	S12	S2	S36	S34	S17	S4	S15	S40	S38I	S32	S41	S7	S35	S21	taxonomy
26	21	20	20	33	0	0	9	11	46	15	1	23	183	1	4324	37	1	0	22	85	2	28	0	3	57	14	2	18	1	2	14	0	21	31	0	0	7574	13	64	0	2	73	178	2	2	27	34	0	36	121	1	6	1	44	0	1	25	81	Bacteria;Firmicutes;Bacilli;Bacillales;Family_XI;Gemella;|100
27	25	245	188	338	71	33	159	9	105	145	205	220	200	194	166	428	119	162	267	324	460	150	123	87	223	98	251	170	75	291	341	115	144	252	267	137	443	275	279	122	94	183	220	191	287	565	34	318	238	240	203	219	79	54	271	223	59	112	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;|81
28	12	15	43	115	197	33	208	10	75	4	185	7	10	45	70	74	40	9	39	132	16	9	6	1	3801	4	45	42	16	17	181	74	308	45	5	50	132	64	27	10	28	3133	1421	21	19	134	4	25	111	84	18	2	10	76	40	135	12	1200	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;|83
29	38	485	746	7	122	5	253	12	425	4	29	78	264	26	10	360	267	27	25	154	402	200	16	179	355	106	38	290	35	970	9	327	391	236	692	167	683	74	28	248	142	8	752	445	458	427	18	408	21	15	42	198	50	102	463	385	87	395	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Gillisia;|87
30	30	368	272	178	234	50	92	19	98	6	209	134	197	108	369	206	83	182	458	191	231	72	56	78	303	85	509	198	244	361	219	197	277	163	792	164	520	186	143	226	124	185	221	141	202	404	28	213	101	262	147	177	41	119	188	265	57	330	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family_III;Thermoanaerobacterium;|100
31	14	3740	17	23	1	0	12	164	3	3	5	7	28	11	1626	444	1	25	14	15	1	0	4	3	44	7	3	16	9	481	7	0	1387	28	210	3	3304	18	20	1	4	0	817	0	4	10	63	12	9	30	3	1	56	126	10	2087	5	9	Bacteria;Firmicutes;Bacilli;unclassified;unclassified;unclassified;|71
32	16	1322	205	100	96	26	83	16	51	74	50	11	61	53	56	224	55	100	130	82	170	17	23	9	101	15	147	155	8	368	72	187	556	100	261	241	1447	143	67	147	44	104	282	212	652	17	16	138	983	33	127	179	25	77	253	573	44	127	Bacteria;Cyanobacteria;Chloroplast;unclassified;unclassified;unclassified;|73
33	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	39	0	20	0	18	0	0	17	8	0	0	0	0	18	38	0	0	0	0	0	0	48	26	8	34	8	0	9573	0	2	118	0	0	0	17	0	0	69	3	0	17	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;|85
34	58	57	528	7	529	6	271	14	509	3	45	5	243	27	8	120	247	6	13	59	278	185	12	111	723	146	66	464	7	371	12	341	84	268	240	216	317	18	5	519	122	3	16	298	109	169	49	319	14	50	6	207	123	136	395	139	73	469	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Pseudarcicella;|98
35	14	517	173	198	66	34	127	18	259	150	137	80	61	205	233	150	224	193	281	296	219	61	78	77	152	59	287	103	23	233	177	182	230	40	102	75	280	147	735	140	104	175	250	112	271	487	49	202	148	619	92	73	77	105	104	185	53	206	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas;|75
